,email_id,label,body
10,11,Enquiry,"help desk ticket for password reset have increased 45% since the new security policy implementation. is it possible to simplify the authentication requirement without compromising security? the average employee now spends approximately 7.5 minute per week just managing passwords. the data show that 23% of all support call are now password-related, up from just 8% last quarter. is this just an adoption curve issue that will improve over time, or have we made the requirement too complex for regular users? could we implement single sign-on for more system to reduce the burden? are there other company in our industry that have found a better balance between security and usability? i'd appreciate your thought on how we might improve this situation while maintaining our security posture."
11,12,Enquiry,"ha there been any further progress on the negotiation with the third-party supplier for the eastern region? our inventory forecast show we'll reach critical level in roughly 45 day if the new agreement isn't finalized. the pricing differential between the current and proposed supplier represents approximately $1.2m in annual savings. have we evaluated contingency option if this deal fall through? what alternative supplier could meet our volume requirement with minimal quality compromises? could we temporarily shift some production to our internal facility to reduce dependence on this supplier? what would be the cost implication of such a move? i need to update the procurement committee next week, so any information you can provide would be helpful."
12,13,Enquiry,"the collateral optimization model is showing a 14% increase in required margin deposit despite relatively stable positions. initial analysis suggests change in correlation assumption might be responsible, but documentation is unclear. ha the quantitative team modified the diversification benefit calculation in the latest release? we need to understand these change to properly manage funding requirement across trading desks. the model previously applied a correlation factor of 0.65 for related energy commodities, but it appears this may have been reduced to 0.4 in the current version. what market data support this change? could you arrange a meeting with the risk modeling team to walk through the recent modifications? this funding impact is significant enough to affect our liquidity forecast for the quarter."
13,14,Enquiry,our analysis show an unexpected increase in customer support contact specifically related to account access issues. ticket volume ha increased by 68% for password reset and security verification process without corresponding change to our authentication systems. ha the it security team implemented any new validation rule or lockout thresholds? understanding these technical constraint is essential for balancing security requirement with user experience considerations. the data indicates that 73% of these incident occur during the first login attempt after the weekend. is there a session timeout parameter that need adjustment? ha there been any recent security patch that might be affecting the authentication flow? we need to address this quickly a it's creating significant frustration among our highest-value customers.
14,15,Enquiry,"supply chain delay affecting european component deliveries. lead time increased from 23 to 38 day without vendor communication. ha procurement identified regional logistics constraints? understanding these factor critical for production scheduling. our analysis show most delay originating at rotterdam port, with container processing time doubled since last quarter. is this related to the new custom procedures, or are there capacity issue with our freight forwarder? the delay have already impacted three production runs, with potential revenue impact of approximately €1.2m if not resolved within two weeks. have we considered air freight alternative for critical components? could you provide a detailed breakdown of which skus are most affected so we can prioritize our response?"
15,16,Enquiry,"customer service satisfaction score have declined 14 point since implementing the new phone system. ha the support team identified specific functionality issue affecting call quality? survey response indicate that 42% of customer report having to repeat information multiple time during transfers. the average handle time ha increased by 3.2 minute per call, and abandonment rate have risen from 6% to 17%. is this primarily a training issue for the staff, or are there technical limitation in the system that need to be addressed? have we considered rolling back to the previous system until these issue are resolved? what is the projected timeline for fixing the most critical problems? i'd appreciate a comprehensive analysis of the situation and proposed remediation step by the end of the week."
16,17,Enquiry,we've noticed a 27% increase in raw material cost for our primary product line this quarter. ha the procurement team identified alternative supplier or substitute materials? margin analysis indicates we'll need to increase price by 8-12% to maintain profitability if these cost persist. the future market suggests these increase may not be temporary. have we secured any longer-term contract to hedge against continued inflation? what price sensitivity model have been run to determine the potential impact on demand? should we consider reformulating certain product to reduce dependency on the most volatile materials? what would be the r&d timeline for such changes? please provide an assessment of our option before the quarterly planning meeting next week.
17,18,Enquiry,"the new marketing automation platform implementation is showing concerning adoption rates. only 32% of the marketing team is regularly using the system after three weeks, compared to our target of 75%. ha the training team identified specific feature that user are struggling with? our analysis show that campaign creation time have actually increased by 47% compared to the old system. is this a temporary learning curve issue, or are there workflow inefficiency that need to be addressed? ha the vendor provided any benchmark data on typical adoption rate and time-to-proficiency? are there configuration change that could simplify the most common tasks? what additional resource would be needed to accelerate adoption and realize the projected efficiency gain by next quarter?"
18,19,Enquiry,"we've observed a significant discrepancy between forecasted and actual energy consumption at our chicago facility. october usage wa 28% above projections, resulting in approximately $45,000 in unanticipated costs. ha the facility team identified specific equipment or operational change that might explain this variance? the hvac system runtime log show increased activity despite moderate weather conditions. have there been thermostat setting change or calibration issue that could account for this? our analysis indicates the consumption pattern changed abruptly in the third week of september. wa any new equipment installed or were operating hour extended around this time? could you arrange a comprehensive energy audit to identify potential inefficiencies? this trend, if continued, would significantly impact our annual operating budget."
19,20,Enquiry,"the revenue recognition algorithm ha flagged an unusual pattern in the western region's transactions. contract value appear to have increased by an average of 22% while actual delivery quantity have remained relatively flat. ha the sale team modified their pricing strategy, or could this indicate potential revenue recognition issues? our analysis show that most of this variance is concentrated in multi-year agreements, where first-year value have increased significantly while total contract value remain consistent with historical patterns. is this a deliberate shift in how we're structuring these deals? have we received any feedback from the auditor on this approach? are there compliance consideration we should be addressing before the quarterly financial close? i'd appreciate your insight on this matter a soon a possible."
20,21,Enquiry,"customer acquisition cost have increased 38% over the past quarter while conversion rate have declined by 12%. ha the marketing analytics team identified specific channel or campaign driving this negative trend? our dashboard show particularly poor performance from paid search, where cost per click ha nearly doubled. the competitive analysis indicates several new entrant aggressively bidding on our core keywords. have we evaluated alternative targeting strategy that might be more cost-effective in this environment? what attribution model adjustment might give u better insight into which touchpoints are truly driving conversions? our current last-click model may be undervaluing certain top-of-funnel activities. could you prepare a revised channel strategy for review that address these concerns? we need to reverse this trend before it significantly impact our unit economics."
21,22,Enquiry,"the quarterly compliance audit ha flagged a 35% increase in documentation exception for the western region. ha the regional management team identified process change or staffing issue that might be contributing to this trend? our preliminary analysis show most exception related to incomplete customer verification steps. is this primarily a training issue, or are there system limitation making it difficult for representative to complete all required fields? the pattern suggests particular difficulty with the new regulatory requirement implemented last quarter. have similar issue been observed in other region using the same process and systems? what best practice from better-performing area might be transferable? please provide an assessment of the situation and proposed remediation plan by monday, a we'll need to discus this with the compliance committee next week."
22,23,Enquiry,"our analysis of the project portfolio show that 42% of initiative are currently behind schedule, up from 28% last quarter. ha the pmo identified common factor contributing to these delays? resource constraint appear to be a recurring theme in the status reports, particularly for technical specialists. the data suggests that initial estimate are increasingly unreliable, with actual delivery time averaging 1.7x the projected timelines. are we applying consistent estimation methodology across teams, or is each group using their own approach? have we considered implementing a more rigorous stage-gate process to catch potential issue earlier? what additional tool or metric might give u better visibility into developing problems? i'd appreciate your thought on how we might improve our project delivery performance in the coming quarter."
23,24,Enquiry,"the employee engagement survey result for q3 show a 17-point decline in satisfaction with management communication. ha the executive team analyzed specific feedback theme that might explain this drop? the most significant decrease were in transparency about company direction and feeling informed about change affecting teams. department-level analysis show particular concern in product development and customer operations, where score have fallen below the 25th percentile benchmark. have recent reorganization or leadership change in these area been effectively communicated? what communication strategy adjustment are being considered to address these concerns? are there successful approach from higher-scoring department that could be adopted more broadly? i'd welcome your perspective on this issue before the all-hands meeting next week."
24,25,Enquiry,the annual security assessment identified a 42% increase in vulnerable endpoint compared to last year's review. ha the it team determined whether this is due to growth in our environment or deterioration in our security posture? the report specifically highlight unpatched system and non-compliant configuration a primary concerns. our analysis indicates that approximately 65% of these vulnerability exist in departmental system outside central it management. have we considered expanding the scope of our unified endpoint management solution to include these assets? what additional resource would be required to address the highest-risk item within the next 30 days? are there automated remediation tool that could accelerate this process? please provide a prioritized remediation plan with timeline and resource requirement by the end of the week.
25,26,Enquiry,"the sale pipeline analysis show a concerning 28% decrease in qualified opportunity for the enterprise segment this quarter. ha the sale leadership team identified market factor or competitive change that might explain this trend? our win rate ha remained relatively stable, suggesting the issue lie in top-of-funnel activities. the data indicates that lead-to-opportunity conversion ha fallen most dramatically for financial service and healthcare verticals. have there been regulatory change or industry-specific concern affecting these sectors? what adjustment to our marketing messaging or sale approach are being considered? should we revisit our ideal customer profile given these changing dynamics? i'd appreciate your assessment of the situation and recommended action before the quarterly sale planning session next week."
26,27,Enquiry,"our analysis of the new product launch show adoption rate 43% below projection after the first month. ha the product team identified specific feature or positioning element that might be missing customer expectations? the usage data indicates most user abandon the onboarding process at the integration step. customer interview suggest that the implementation requirement may be more complex than we communicated. have we adequately resourced the customer success team to support user through this process? is the current pricing structure aligned with the perceived value, especially given the implementation effort required? what quick win could we implement to improve the user experience while more substantial change are developed? please provide your assessment of the situation and recommended next step by monday so we can discus them in the product review meeting."
27,28,Enquiry,"the latest market intelligence report indicates our main competitor ha reduced price by 15-20% in the enterprise segment. ha the competitive analysis team evaluated how this will impact our win rate and deal sizes? our current model suggest we could lose up to 25% market share in this segment if we don't respond. the timing coincides with their recent funding round, suggesting this may be a sustained strategy rather than a temporary promotion. have we modeled various response scenario and their impact on our unit economics? what non-pricing differentiator could we emphasize more strongly to justify our premium? are there bundle opportunity that might provide more value while preserving margins? i'd appreciate your thought on our optimal response strategy before the executive committee meeting on thursday."
28,29,Enquiry,we've observed a 34% increase in infrastructure cost despite relatively stable usage patterns. ha the cloud operation team identified potential inefficiency or architectural issue driving this trend? our analysis show particular growth in data transfer and storage costs. the usage pattern suggest we may not be effectively utilizing reserved instance or taking advantage of cost optimization features. have we conducted a thorough review of our infrastructure configuration against current best practices? what automated cost management tool have we evaluated? several of our industry peer have reported significant saving through implementation of these solutions. could you prepare a cost optimization roadmap with projected saving and implementation timeline for review at next week's technology steering committee?
29,30,Enquiry,"the monthly risk dashboard show a significant increase in policy exception for the european division, with violation up 47% compared to baseline. ha the compliance team identified specific regulatory change or process modification that might explain this trend? the majority of exception relate to documentation completeness and verification timeliness. regional management suggests that recent system change have created workflow inefficiencies, requiring staff to use manual workarounds. have we evaluated the impact of these change on productivity and compliance? what immediate step can be taken to address the highest-risk exceptions? are there opportunity to streamline process while maintaining regulatory compliance? please provide a comprehensive assessment and remediation plan by friday, a we'll need to report on this situation to the audit committee next week."
30,31,Enquiry,"our analysis of the new marketing campaign show conversion rate 32% below forecast, despite traffic metric meeting expectations. ha the digital team identified element of the landing page or checkout process that might be creating friction? heatmap data suggests user are getting confused at the product selection step. a/b testing on the call-to-action messaging show the original version outperforming the new copy by a significant margin. have we considered reverting this element while maintaining the updated visual design? mobile conversion rate appear particularly affected, with a 54% drop compared to desktop. are there responsive design issue that need urgent attention? please provide an assessment of the critical issue and proposed solution so we can implement change before the campaign budget is further depleted."
31,32,Enquiry,"the quarterly business review indicates customer churn ha increased from 4.7% to 7.2% over the past three months. ha the customer success team identified common reason cited in exit interviews? our preliminary analysis show particular vulnerability among customer in the 7-12 month lifecycle stage. usage data for churned account show a 38% decline in platform engagement in the week preceding cancellation. are there early warning indicator we could monitor more proactively? the financial impact of this trend represents approximately $2.8m in annual recurring revenue. what retention initiative have been evaluated, and what resource would be required to implement them? i'd appreciate your assessment and recommendation before the executive planning session next week."
32,33,Enquiry,"our analysis show that the development team's velocity ha decreased by 31% over the last three sprints. ha the engineering management identified specific impediment causing this slowdown? the quality metric remain stable, suggesting this isn't due to increased focus on technical debt. the data indicates a growing backlog of blocked items, primarily waiting on dependency from the infrastructure team. is this related to the recent reorganization, or are there resource constraint affecting cross-team collaboration? have we considered adjusting our sprint planning process to better account for these dependencies? what process change might improve our ability to deliver predictably? please provide your assessment and recommendation for addressing this trend before it impact our quarterly delivery commitments."
33,34,Enquiry,the monthly security report show a 78% increase in attempted breach targeting our customer data environment. ha the security team identified any pattern that might indicate a coordinated attack rather than random probing? the log show particular focus on our api endpoint and authentication systems. our analysis indicates that approximately 23% of these attempt use credential that appear valid but fail secondary verification steps. is there evidence of a potential data breach from a third-party source exposing customer information? what immediate step are being taken to strengthen our security posture? are there additional monitoring or protection measure that should be implemented on an emergency basis? please provide a comprehensive assessment of the situation and recommendation for both immediate and longer-term security enhancements.
34,35,Enquiry,"we're seeing a concerning trend in our quality metrics, with defect rate up 28% in the last quarter. ha the manufacturing team identified process change or supplier issue that might explain this increase? the data show particular problem with the electronic component from our singapore facility. the pattern suggests issue with a specific batch of material received in august. have we conducted a thorough analysis of incoming quality check and whether procedure were followed correctly? what immediate corrective action have been implemented, and how are we preventing potentially defective unit from reaching customers? have we quantified the financial impact of rework and potential returns? please provide a detailed assessment and remediation plan before the weekly operation review meeting."
35,36,Enquiry,the latest market research indicates our brand awareness ha dropped 12 percentage point among our core demographic over the past six months. ha the marketing team identified specific factor contributing to this decline? our share of voice analysis show competitor have increased their medium spend significantly during this period. customer survey data suggests confusion about our value proposition following the recent product line expansion. are we effectively communicating how our various offering relate to each other and the core brand promise? what adjustment to our marketing strategy are being considered to address this trend? are there opportunity to consolidate our messaging for greater impact with the same budget? i'd appreciate your assessment and recommendation before the brand strategy session next month.
36,37,Enquiry,"the data center migration project is currently showing a 45% schedule variance, with completion now projected for august rather than may. ha the infrastructure team identified specific challenge causing these delays? the status report mention unexpected complexity in the legacy systems, but lack specific details. our analysis indicates that the testing phase is taking substantially longer than planned, with migration validation requiring approximately twice the estimated effort. have we underestimated the complexity of our environment, or are there process inefficiency that could be addressed? what mitigation strategy are being considered to accelerate the timeline? would additional resource help, or are there fundamental technical challenge that need to be resolved? please provide a detailed assessment and revised project plan by friday."
37,38,Enquiry,"the vendor evaluation committee ha identified three finalist for the new crm system, but our analysis show significant variation in their tco calculations. ha the it team developed a standardized model that account for all implementation, licensing, and operational costs? initial estimate range from $1.2m to $2.8m over five years. the feature comparison indicates that vendor b lack native integration with our marketing automation platform, which could require additional development work. have these cost been fully factored into the tco model? our customer service team ha expressed concern about the user interface of vendor c, suggesting potential training and adoption challenges. have we conducted sufficient hands-on testing with actual user to validate these concerns? what additional evaluation step would you recommend before making a final decision?"
38,39,Enquiry,"we've observed unusual trading pattern in the natural gas future market over the past week, with volatility 62% higher than seasonal norms. ha the risk management team analyzed potential factor driving these fluctuations? weather forecast don't appear to explain the magnitude of these moves. our position analysis show potential exposure of approximately $8.2m if these condition persist. have we considered adjusting our hedging strategy to mitigate this risk? the pattern somewhat resembles the market disruption we saw in 2018, which wa later attributed to a large player unwinding positions. are there indicator of similar institutional activity in the current market? please provide your assessment of the situation and any recommended change to our trading strategy or risk limits."
39,40,Enquiry,"our analysis of the new compensation structure show concerning trend in the sale organization, with top performer retention down 18% since implementation. ha hr identified specific element of the plan that might be driving this attrition? the data suggests particular dissatisfaction with the extended vesting schedule and higher quota thresholds. competitor intelligence indicates several firm are specifically targeting our sale talent with accelerated vesting and guaranteed first-year compensation packages. have we conducted a thorough market comparison to ensure our total compensation remains competitive? what short-term adjustment could be made to address retention concern while a more comprehensive review is conducted? are there non-monetary incentive that might help bridge the gap? please provide your assessment and recommendation before the executive compensation committee meeting next week."
40,1,Confirmation,a non corp password request ha been made for gerald.nemec enron.com your non corp password for erequest is 9829 . without quote to use this password go to the erequest website http: itcapps.corp.enron.com srrs entry and click on non corp logon. type in your email address and the password above and click the log in button to log on to erequest. to submit feedback on erequest go to the feedback page at http: itcapps.corp.enron.com srrs feedback .
41,2,Confirmation,deal move ha been completed and retranslated. cecilia
42,3,Confirmation,the payment status ha changed on the following report: status last changed by: system expense report name: group outing report total: 410.95 amount due employee: 410.95 amount approved: 410.95 amount paid: 0.00 approval status: approved payment status: processed to review this expense report click on the following link for concur expense. http: expensexms.enron.com
43,4,Confirmation,dear market participant technical bulletin 77 generator start up cost guarantee ha been revised in response to market participant comment and will soon be posted to the nyiso web site. for your convenience clean and redlined version of the technical bulletin are attached. the purpose of our technical bulletin is to facilitate participation in the nyiso by communicating various nyiso concept technique and process to market participant before they can be formally documented in a nyiso manual. question should be directed to your customer account representative or the help desk at 518 356 6060. regard peter lemme nyiso customer technical service see attached file: tb 77 redline.pdf see attached file: tb 77.pdf tb 77 redline.pdf tb 77.pdf
44,5,Confirmation,conference room ecs06118 ha been reserved for houston participants.
45,6,Confirmation,contract 08110 wa approved at 10 25 2001 10:14:23 pg e national energy group and any other company referenced herein that us the pg e name or logo are not the same company a pacific gas and electric company the regulated california utility. neither pg e national energy group nor these other referenced company are regulated by the california public utility commission. customer of pacific gas and electric company do not have to buy product from these company in order to continue to receive quality regulated service from the utility.
46,7,Confirmation,this is complete. these deal have been moved previously. thanks. pl
47,8,Confirmation,this is an automatically generated delivery status notification. your message ha been successfully relayed to the following recipient but the requested delivery status notification may not be generated by the destination. nathoo blackstone.com
48,9,Confirmation,the payment status ha changed on the following report: status last changed by: kerry harrington expense report name: 2001 april report total: 10 063.91 amount due employee: 10 063.91 amount approved: 10 063.91 amount paid: 0.00 approval status: pre approved payment status: authorized to review this expense report click on the following link for concur expense. http: xms.enron.com
49,10,Confirmation,reservation status ha changed. detail of the reservation are listed below: assignment ref 27882 seller code azps seller dun 958982563 customer code epmi customer dun 848921276 affiliate flag 0 path name w azps azps azps fourcorne345 pnpkaps230 point of receipt fourcorne345 point of delivery pnpkaps230 source presched sink presched capacity 25 capacity requested 25 service increment hourly t class firm t type point to point t period off peak t window fixed t subclass wheel nerc curtailment priority nerc priority 1 other curtailment priority default start time 01 11 2002 stop time 01 13 2002 ceiling price 1.95 offer price 1.95 bid price 1.95 price unit mw preconfirmed yes anc svc link n a anc svc req n a posting ref 0 sale ref request ref deal ref negotiated price flag status confirmed status notification holden.salisbury enron.com status comment time queued 01 10 2002 time of last update 01 10 2002 primary provider comment seller comment customer comment seller name azps seller phone 602.250.1128 seller fax 602.250.1155 seller email oasisadm apsc.com customer name enron power marketing inc. customer phone 713 853 3801 customer fax 713 646 8272 customer email bill.rust enron.com reassigned ref 0 reassigned capacity 0
50,11,Confirmation,attached is the capital charge file which ha been corrected for a formula error in august. i appreciate everyone s effort in auditing this.
51,12,Confirmation,reservation status ha changed. detail of the reservation are listed below: assignment ref 27855 seller code azps seller dun 958982563 customer code epmi customer dun 848921276 affiliate flag 0 path name w azps azps azps fourcorne345 pnpkaps230 point of receipt fourcorne345 point of delivery pnpkaps230 source presched sink presched capacity 25 capacity requested 25 service increment hourly t class firm t type point to point t period off peak t window fixed t subclass wheel nerc curtailment priority nerc priority 1 other curtailment priority default start time 01 09 2002 stop time 01 10 2002 ceiling price 1.95 offer price 1.95 bid price 1.95 price unit mw preconfirmed yes anc svc link n a anc svc req n a posting ref 0 sale ref request ref deal ref negotiated price flag status confirmed status notification holden.salisbury enron.com status comment time queued 01 08 2002 time of last update 01 08 2002 primary provider comment seller comment customer comment seller name azps seller phone 602.250.1128 seller fax 602.250.1155 seller email oasisadm apsc.com customer name enron power marketing inc. customer phone 713 853 3801 customer fax 713 646 8272 customer email bill.rust enron.com reassigned ref 0 reassigned capacity 0
52,13,Confirmation,the company is 50 mw s long onpeak under deal 683846.1. either leave in the pool or sell balance of the day. the sale side should go under ercot option book. the power is currently scheduled to the north zone. jmf
53,14,Confirmation,facundo: essie and i will confirm with donette tomorrow but for the time being plan on reversing the 710 million book loss on the entity listed below if you determine that they were in fact booked and include schedule m adjustment to deduct a interest expense the purchase price paid by harrier 6 mill. roadrunner and grizzly 15 mill. each and pronghorn 1 000 for the lower tier entity purchased from ljm. we will confirm and let you know before noon tomorrow. thanks john.
54,15,Confirmation,hi christi and sarah a you know the deadline for filing response to translink s itc pleading ha been postponed until late november. i had prepared the attached draft for the october 29 filing date... we have time to revise the draft to conform it with anything ferc will say prior to the response date i m aware that the commissioner have put the question of miso appendix i back on the table ; in the meantime i would really appreciate your review and comment on the attachment.
55,16,Confirmation,the deal have been moved to ena ft wt socal and retranslated successfully. cecilia
56,17,Confirmation,the preliminary violation memo for 11 20 01 have been published and are available for viewing on the erv: http: erv.corp.enron.com violation notification memo section.
57,18,Confirmation,gerald here is what i have so far for the draft confirmation for mariner. a we discussed i need you to add the language that state that at the seller s option we will release a given property for the remainder of the term of the contract if we are unable to move the gas from that property due to transportation. thanks judy
58,19,Confirmation,all of these deal have been auto scheduled hopefully that will fix any error with balancing for 10 2
59,20,Confirmation,the ets it team ha been appropriately placed in the pep system in the 10 80 10 categories.
60,21,Confirmation,for tomorrow we need to sell the following: he 5 30mw s he 6 30mw s he 7 65 mw s the sale go into the teco service book. the length is currently scheduled to load in enpower and the qse mo system. thanks jmf
61,22,Confirmation,we ve changed the weekly scheduled meeting to accommodate more people s calendars: when: every tuesday when: 3pm where: 15c1
62,23,Confirmation,mryantaber nyiso.com writes to the nyiso tech exchange discussion list: dear mswg members. a meeting of the market structure working group ha been scheduled for monday august 27 2001 from 10:00 4:00 at the ny nurse association 11 cornell road latham ny. agenda and meeting material will be sent at a later date. teleconferencing information is a follows: dial in number: 601 354 1086 participant code: 115522 regard monica ryan taber 518 356 6222
63,24,Confirmation,the following late pending nom ha been rejected: company: 000236 arng: 37147 01961 eff date: 2001 11 27 nominated location quantity receipt p1037186 1 767 delivery p1037147 1 767 rejected reason: pool out of balance this document wa created by tco2114 in the db2p subsystem in trans id smi0 program tj90018
64,25,Confirmation,the amendment for south jersey resource ha been updated by legal.
65,26,Confirmation,this is a courtesy copy of your invoice that you just created on www.auctionhelper.com. the seller ha been notified and should follow up shortly. seller address: discount sportscard co. 15411 red hill ave. suite a tustin ca 92780 phone: 1 714 259 9200 ship
66,27,Confirmation,the pulp weekly meeting scheduled by rodney malcolm for every monday at 9:00am to 10:00am will now be held in video conference room ec 04075 new building . the london team will be participating via video conference. thanks ana alcantara
67,28,Confirmation,we have received an executed financial master agreement: type of contract: isda master agreement multicurrency cross border effective date: august 30 2001 enron entity: enron north america corp. counterparty: ppl energyplus llc transaction covered: approved for all product with the exception of: foreign exchange confirming entity: enron north america corp. governing law: new york special handling requirements: no special handling requirement copy will be distributed. stephanie panus
68,29,Confirmation,folk can ye guy confirm if you can attend lunch and also i still need 2 people for the office visit!. your time is appreciated. thx. karen x54667.
69,30,Confirmation,sara i called scott with no answer. my contact doe not know who he is but suggested you could send the eci and ena agreement to her and she would ensure both were put in place with her legal and compliance people. you can send the completed agreement
70,31,Confirmation,the approval status ha changed on the following report: status last changed by: automated administrator expense report name: group outing report total: 410.95 amount due employee: 410.95 amount approved: 410.95 amount paid: 0.00 approval status: pending payment status: pending to review this expense report click on the following link for concur expense. http: expensexms.enron.com
71,32,Confirmation,the payment status ha changed on the following report: status last changed by: system expense report name: 2001 april report total: 10 063.91 amount due employee: 10 063.91 amount approved: 10 063.91 amount paid: 0.00 approval status: approved payment status: in progress to review this expense report click on the following link for concur expense. http: xms.enron.com
72,33,Confirmation,dave a per previous discussion i am very concerned with canada not using ubs ag a the contracting party. additionally lou eber ha confirmed with me a number of time that ubs ag doe not guarantee subsiduaries but rather ubs is good for it . this will not work.
73,34,Confirmation,debra and gerald attached is a worksheet with the credit term that i would require in a gtc confirmation: greg i will call you about this. thanks jay
74,35,Confirmation,ferc today issued draft order denying rehearing in the following: kern river cp01 31 2002 expansion project rejected argument of the firm customer that the project should not have been approved or alternatively the right of the expansion shipper at wheeler ridge should be subordinate to those of the existing shippers. pg e gas transmission nw cp01 141 2001 expansion rejected newport northwest llc s assertion that requiring the expansion shipper to pay a fuel cost surcharge to recover any incremental fuel cost due to the additional compression approved for this project is contrary to ferc precedent and the policy statement on expansion facilities. these order should be issued within the next few day and we will circulate copies. let melinda know if you want to see the draft copy before then they are not available electronically .
75,36,Confirmation,final reminder if you are a participant in the enron corp. saving plan all trade among your investment fund must be completed by 3:00 pm cst friday october 26. the makeup of your investment fund in the saving plan at 3:00 p.m. october 26 will reflect your investment decision for the duration of the transition period.
