Email,True Label,Predicted Label
"help desk ticket for password reset have increased 45% since the new security policy implementation. is it possible to simplify the authentication requirement without compromising security? the average employee now spends approximately 7.5 minute per week just managing passwords. the data show that 23% of all support call are now password-related, up from just 8% last quarter. is this just an adoption curve issue that will improve over time, or have we made the requirement too complex for regular users? could we implement single sign-on for more system to reduce the burden? are there other company in our industry that have found a better balance between security and usability? i'd appreciate your thought on how we might improve this situation while maintaining our security posture.",Enquiry,Enquiry
we have received the following question from the wall street journal and bloomberg. we will not necessarily respond but would you please provide answer and let me know your view whether or not we should respond to the following: have you had any further contact from fitch? ha there been a change in status to the sec inquiry? which office is handling fort worth? have you been contacted by the federal reserve or any other agency conducting an investigation? have you been in contact with or retained bankruptcy counsel? have you been contacted about a takeover royal dutch/ge? have you retained goldman sachs to advise you on credit rating/financing issue or to find a strategic partner? will they receive an equity stake to help enron get out of it current situation? these reporter are on deadline tonight so let me know a soon a possible. thank you.,Enquiry,Enquiry
"the latest market intelligence report indicates our main competitor ha reduced price by 15-20% in the enterprise segment. ha the competitive analysis team evaluated how this will impact our win rate and deal sizes? our current model suggest we could lose up to 25% market share in this segment if we don't respond. the timing coincides with their recent funding round, suggesting this may be a sustained strategy rather than a temporary promotion. have we modeled various response scenario and their impact on our unit economics? what non-pricing differentiator could we emphasize more strongly to justify our premium? are there bundle opportunity that might provide more value while preserving margins? i'd appreciate your thought on our optimal response strategy before the executive committee meeting on thursday.",Enquiry,Enquiry
dear investor this little biotech company just may have the answer to prostate cancer and a lock on one of the largest and most lucrative health market of the western world. best of all it stock is trading at just 20 cent per share. would you be interested in learning more about this opportunity?,Enquiry,Enquiry
"the quarterly compliance audit ha flagged a 35% increase in documentation exception for the western region. ha the regional management team identified process change or staffing issue that might be contributing to this trend? our preliminary analysis show most exception related to incomplete customer verification steps. is this primarily a training issue, or are there system limitation making it difficult for representative to complete all required fields? the pattern suggests particular difficulty with the new regulatory requirement implemented last quarter. have similar issue been observed in other region using the same process and systems? what best practice from better-performing area might be transferable? please provide an assessment of the situation and proposed remediation plan by monday, a we'll need to discus this with the compliance committee next week.",Enquiry,Enquiry
"we've observed a significant discrepancy between forecasted and actual energy consumption at our chicago facility. october usage wa 28% above projections, resulting in approximately $45,000 in unanticipated costs. ha the facility team identified specific equipment or operational change that might explain this variance? the hvac system runtime log show increased activity despite moderate weather conditions. have there been thermostat setting change or calibration issue that could account for this? our analysis indicates the consumption pattern changed abruptly in the third week of september. wa any new equipment installed or were operating hour extended around this time? could you arrange a comprehensive energy audit to identify potential inefficiencies? this trend, if continued, would significantly impact our annual operating budget.",Enquiry,Enquiry
our analysis show an unexpected increase in customer support contact specifically related to account access issues. ticket volume ha increased by 68% for password reset and security verification process without corresponding change to our authentication systems. ha the it security team implemented any new validation rule or lockout thresholds? understanding these technical constraint is essential for balancing security requirement with user experience considerations. the data indicates that 73% of these incident occur during the first login attempt after the weekend. is there a session timeout parameter that need adjustment? ha there been any recent security patch that might be affecting the authentication flow? we need to address this quickly a it's creating significant frustration among our highest-value customers.,Enquiry,Enquiry
"the collateral optimization model is showing a 14% increase in required margin deposit despite relatively stable positions. initial analysis suggests change in correlation assumption might be responsible, but documentation is unclear. ha the quantitative team modified the diversification benefit calculation in the latest release? we need to understand these change to properly manage funding requirement across trading desks. the model previously applied a correlation factor of 0.65 for related energy commodities, but it appears this may have been reduced to 0.4 in the current version. what market data support this change? could you arrange a meeting with the risk modeling team to walk through the recent modifications? this funding impact is significant enough to affect our liquidity forecast for the quarter.",Enquiry,Enquiry
"the monthly risk dashboard show a significant increase in policy exception for the european division, with violation up 47% compared to baseline. ha the compliance team identified specific regulatory change or process modification that might explain this trend? the majority of exception relate to documentation completeness and verification timeliness. regional management suggests that recent system change have created workflow inefficiencies, requiring staff to use manual workarounds. have we evaluated the impact of these change on productivity and compliance? what immediate step can be taken to address the highest-risk exceptions? are there opportunity to streamline process while maintaining regulatory compliance? please provide a comprehensive assessment and remediation plan by friday, a we'll need to report on this situation to the audit committee next week.",Enquiry,Enquiry
"customer feedback show growing confusion about our new pricing model. ha the marketing team tested alternative way to present this information? our conversion rate ha dropped 18% since the rollout, and customer service report that 32% of all call now relate to pricing questions. the web analytics show that visitor are spending three time longer on the pricing page but are 45% less likely to proceed to the purchase flow. is the complexity of the tiered structure causing decision paralysis? have we considered running focus group to better understand customer pain points? should we simplify the pricing structure, even if it mean potentially lower revenue for some customer segments? please share your thought on how we can address this growing concern.",Enquiry,Enquiry
i had an idea for a project which might eventually do away with the need to have 15 people in a room at 8.30 every day to talk about amongst other thing data feed timing content etc. and i would love to get your feedback on it. do you think this approach would be effective?,Enquiry,Enquiry
we've noticed a 27% increase in raw material cost for our primary product line this quarter. ha the procurement team identified alternative supplier or substitute materials? margin analysis indicates we'll need to increase price by 8-12% to maintain profitability if these cost persist. the future market suggests these increase may not be temporary. have we secured any longer-term contract to hedge against continued inflation? what price sensitivity model have been run to determine the potential impact on demand? should we consider reformulating certain product to reduce dependency on the most volatile materials? what would be the r&d timeline for such changes? please provide an assessment of our option before the quarterly planning meeting next week.,Enquiry,Enquiry
"our analysis of the project portfolio show that 42% of initiative are currently behind schedule, up from 28% last quarter. ha the pmo identified common factor contributing to these delays? resource constraint appear to be a recurring theme in the status reports, particularly for technical specialists. the data suggests that initial estimate are increasingly unreliable, with actual delivery time averaging 1.7x the projected timelines. are we applying consistent estimation methodology across teams, or is each group using their own approach? have we considered implementing a more rigorous stage-gate process to catch potential issue earlier? what additional tool or metric might give u better visibility into developing problems? i'd appreciate your thought on how we might improve our project delivery performance in the coming quarter.",Enquiry,Enquiry
"the vendor evaluation committee ha identified three finalist for the new crm system, but our analysis show significant variation in their tco calculations. ha the it team developed a standardized model that account for all implementation, licensing, and operational costs? initial estimate range from $1.2m to $2.8m over five years. the feature comparison indicates that vendor b lack native integration with our marketing automation platform, which could require additional development work. have these cost been fully factored into the tco model? our customer service team ha expressed concern about the user interface of vendor c, suggesting potential training and adoption challenges. have we conducted sufficient hands-on testing with actual user to validate these concerns? what additional evaluation step would you recommend before making a final decision?",Enquiry,Enquiry
"we're seeing a concerning trend in our quality metrics, with defect rate up 28% in the last quarter. ha the manufacturing team identified process change or supplier issue that might explain this increase? the data show particular problem with the electronic component from our singapore facility. the pattern suggests issue with a specific batch of material received in august. have we conducted a thorough analysis of incoming quality check and whether procedure were followed correctly? what immediate corrective action have been implemented, and how are we preventing potentially defective unit from reaching customers? have we quantified the financial impact of rework and potential returns? please provide a detailed assessment and remediation plan before the weekly operation review meeting.",Enquiry,Enquiry
"customer acquisition cost have increased 38% over the past quarter while conversion rate have declined by 12%. ha the marketing analytics team identified specific channel or campaign driving this negative trend? our dashboard show particularly poor performance from paid search, where cost per click ha nearly doubled. the competitive analysis indicates several new entrant aggressively bidding on our core keywords. have we evaluated alternative targeting strategy that might be more cost-effective in this environment? what attribution model adjustment might give u better insight into which touchpoints are truly driving conversions? our current last-click model may be undervaluing certain top-of-funnel activities. could you prepare a revised channel strategy for review that address these concerns? we need to reverse this trend before it significantly impact our unit economics.",Enquiry,Enquiry
"the data center migration project is currently showing a 45% schedule variance, with completion now projected for august rather than may. ha the infrastructure team identified specific challenge causing these delays? the status report mention unexpected complexity in the legacy systems, but lack specific details. our analysis indicates that the testing phase is taking substantially longer than planned, with migration validation requiring approximately twice the estimated effort. have we underestimated the complexity of our environment, or are there process inefficiency that could be addressed? what mitigation strategy are being considered to accelerate the timeline? would additional resource help, or are there fundamental technical challenge that need to be resolved? please provide a detailed assessment and revised project plan by friday.",Enquiry,Enquiry
the annual security assessment identified a 42% increase in vulnerable endpoint compared to last year's review. ha the it team determined whether this is due to growth in our environment or deterioration in our security posture? the report specifically highlight unpatched system and non-compliant configuration a primary concerns. our analysis indicates that approximately 65% of these vulnerability exist in departmental system outside central it management. have we considered expanding the scope of our unified endpoint management solution to include these assets? what additional resource would be required to address the highest-risk item within the next 30 days? are there automated remediation tool that could accelerate this process? please provide a prioritized remediation plan with timeline and resource requirement by the end of the week.,Enquiry,Enquiry
"our analysis show a 35% increase in shipping cost for international orders. ha the logistics team evaluated alternative carrier for these routes? the current delivery timeframes have increased by an average of 7 days, which is causing customer satisfaction issue in our european markets. the cost differential between domestic and international shipping ha grown from 2.8x to 4.3x in just one quarter. is this a temporary spike related to fuel costs, or are there structural issue with our distribution network that need to be addressed? can you provide a breakdown of which product category are most affected by these increases? we need to determine whether selective price adjustment might be necessary. thank you for looking into this.",Enquiry,Enquiry
"jeff, a always your proposal is creative. after reviewing your presentation, here are some tough question that we can discus tomorrow: 1. would the replacement energy from the market be obtained under contract of similar length and firmness a the qf contract that the energy replaces? if not, how do we justify a different standard? 2. can we credibly say that the california economy and reliability will be served by shifting energy supply from california to a broader western market? 3. will ferc be convinced by the argument on competitive issues, or will it view this a something that further concentrate market power? 4. do we need outright acquisition rather than contracts? 5. can we structure a creative way to allow the qfs to participate in the upside over the long term (i.e. the higher priced years)? 6. how would we be assured that sce would use any fund from this to pay qfs and keep them running? i look forward to discussing these tomorrow. mike",Enquiry,Enquiry
"the operational performance metric for the western region show a 23% increase in delivery failure compared to last quarter. ha the logistics team identified the root cause for these failures? our initial analysis suggests problem with both the scheduling system and third-party carriers. is this a temporary situation related to the recent software upgrade, or have there been personnel change that might be affecting performance? the customer impact is becoming significant, with several key account threatening to reduce their orders. what corrective action have been implemented, and when can we expect to see improvements? do we need to allocate additional resource to this region while the issue are being resolved? please provide an update by thursday so i can address these concern in the divisional meeting.",Enquiry,Enquiry
"the quarterly business review indicates customer churn ha increased from 4.7% to 7.2% over the past three months. ha the customer success team identified common reason cited in exit interviews? our preliminary analysis show particular vulnerability among customer in the 7-12 month lifecycle stage. usage data for churned account show a 38% decline in platform engagement in the week preceding cancellation. are there early warning indicator we could monitor more proactively? the financial impact of this trend represents approximately $2.8m in annual recurring revenue. what retention initiative have been evaluated, and what resource would be required to implement them? i'd appreciate your assessment and recommendation before the executive planning session next week.",Enquiry,Enquiry
thank you for submitting your request for vacation time. your request for december 21-31 ha been approved by your manager. your time off ha been recorded in the hr system and your out-of-office notification ha been scheduled.,Confirmation,Confirmation
gerald here is what i have so far for the draft confirmation for mariner. a we discussed i need you to add the language that state that at the seller s option we will release a given property for the remainder of the term of the contract if we are unable to move the gas from that property due to transportation. thanks judy,Confirmation,Confirmation
hi christi and sarah a you know the deadline for filing response to translink s itc pleading ha been postponed until late november. i had prepared the attached draft for the october 29 filing date... we have time to revise the draft to conform it with anything ferc will say prior to the response date i m aware that the commissioner have put the question of miso appendix i back on the table ; in the meantime i would really appreciate your review and comment on the attachment.,Confirmation,Confirmation
this is to confirm that your reservation for conference room eb4102 ha been scheduled for tomorrow's strategy meeting from 2:00pm to 4:00pm. audiovisual equipment ha been arranged a requested.,Confirmation,Confirmation
the payment status ha changed on the following report: status last changed by: system expense report name: group outing report total: 410.95 amount due employee: 410.95 amount approved: 410.95 amount paid: 0.00 approval status: approved payment status: processed to review this expense report click on the following link for concur expense. http: expensexms.enron.com,Confirmation,Confirmation
we have received an executed financial master agreement: type of contract: isda master agreement multicurrency cross border effective date: august 30 2001 enron entity: enron north america corp. counterparty: ppl energyplus llc transaction covered: approved for all product with the exception of: foreign exchange confirming entity: enron north america corp. governing law: new york special handling requirements: no special handling requirement copy will be distributed. stephanie panus,Confirmation,Confirmation
reservation status ha changed. detail of the reservation are listed below: assignment ref 27855 seller code azps seller dun 958982563 customer code epmi customer dun 848921276 affiliate flag 0 path name w azps azps azps fourcorne345 pnpkaps230 point of receipt fourcorne345 point of delivery pnpkaps230 source presched sink presched capacity 25 capacity requested 25 service increment hourly t class firm t type point to point t period off peak t window fixed t subclass wheel nerc curtailment priority nerc priority 1 other curtailment priority default start time 01 09 2002 stop time 01 10 2002 ceiling price 1.95 offer price 1.95 bid price 1.95 price unit mw preconfirmed yes anc svc link n a anc svc req n a posting ref 0 sale ref request ref deal ref negotiated price flag status confirmed status notification holden.salisbury enron.com status comment time queued 01 08 2002 time of last update 01 08 2002 primary provider comment seller comment customer comment seller name azps seller phone 602.250.1128 seller fax 602.250.1155 seller email oasisadm apsc.com customer name enron power marketing inc. customer phone 713 853 3801 customer fax 713 646 8272 customer email bill.rust enron.com reassigned ref 0 reassigned capacity 0,Confirmation,Confirmation
this is complete. these deal have been moved previously. thanks. pl,Confirmation,Confirmation
the ets it team ha been appropriately placed in the pep system in the 10 80 10 categories.,Confirmation,Confirmation
sara i called scott with no answer. my contact doe not know who he is but suggested you could send the eci and ena agreement to her and she would ensure both were put in place with her legal and compliance people. you can send the completed agreement,Confirmation,Confirmation
all of these deal have been auto scheduled hopefully that will fix any error with balancing for 10 2,Confirmation,Confirmation
facundo: essie and i will confirm with donette tomorrow but for the time being plan on reversing the 710 million book loss on the entity listed below if you determine that they were in fact booked and include schedule m adjustment to deduct a interest expense the purchase price paid by harrier 6 mill. roadrunner and grizzly 15 mill. each and pronghorn 1 000 for the lower tier entity purchased from ljm. we will confirm and let you know before noon tomorrow. thanks john.,Confirmation,Confirmation
the company is 50 mw s long onpeak under deal 683846.1. either leave in the pool or sell balance of the day. the sale side should go under ercot option book. the power is currently scheduled to the north zone. jmf,Confirmation,Confirmation
the approval status ha changed on the following report: status last changed by: automated administrator expense report name: group outing report total: 410.95 amount due employee: 410.95 amount approved: 410.95 amount paid: 0.00 approval status: pending payment status: pending to review this expense report click on the following link for concur expense. http: expensexms.enron.com,Confirmation,Confirmation
reservation status ha changed. detail of the reservation are listed below: assignment ref 27882 seller code azps seller dun 958982563 customer code epmi customer dun 848921276 affiliate flag 0 path name w azps azps azps fourcorne345 pnpkaps230 point of receipt fourcorne345 point of delivery pnpkaps230 source presched sink presched capacity 25 capacity requested 25 service increment hourly t class firm t type point to point t period off peak t window fixed t subclass wheel nerc curtailment priority nerc priority 1 other curtailment priority default start time 01 11 2002 stop time 01 13 2002 ceiling price 1.95 offer price 1.95 bid price 1.95 price unit mw preconfirmed yes anc svc link n a anc svc req n a posting ref 0 sale ref request ref deal ref negotiated price flag status confirmed status notification holden.salisbury enron.com status comment time queued 01 10 2002 time of last update 01 10 2002 primary provider comment seller comment customer comment seller name azps seller phone 602.250.1128 seller fax 602.250.1155 seller email oasisadm apsc.com customer name enron power marketing inc. customer phone 713 853 3801 customer fax 713 646 8272 customer email bill.rust enron.com reassigned ref 0 reassigned capacity 0,Confirmation,Confirmation
your application for the senior analyst position (job id: sr2001-42) ha been received. we will review your qualification and contact you within the next 7-10 business day if your background match our current needs.,Confirmation,Confirmation
the approval status ha changed on the following report: status last changed by: barry l. tycholiz expense report name: 121001 report total: 198.98 amount due employee: 198.98 amount approved: 198.98 amount paid: 0.00 approval status: approved payment status: pending to review this expense report click on the following link for concur expense. http: expensexms.enron.com,Confirmation,Confirmation
the approval status ha changed on the following report: status last changed by: barry l. tycholiz expense report name: mw112801 report total: 127.42 amount due employee: 127.42 amount approved: 127.42 amount paid: 0.00 approval status: approved payment status: pending to review this expense report click on the following link for concur expense. http: expensexms.enron.com,Confirmation,Confirmation
for tomorrow we need to sell the following: he 5 30mw s he 6 30mw s he 7 65 mw s the sale go into the teco service book. the length is currently scheduled to load in enpower and the qse mo system. thanks jmf,Confirmation,Confirmation
steve and i have been asked whether we will be signing the document that you previously signed or whether they should continue to go you. if the officer status is not required for tpa s electronic information access transportation contract etc we d be happy to pick up the responsibility. let u know which direction you d like to go and we will inform the group. brad,Confirmation,Confirmation
the amendment for south jersey resource ha been updated by legal.,Confirmation,Confirmation
deal move ha been completed and retranslated. cecilia,Confirmation,Confirmation
contract 08110 wa approved at 10 25 2001 10:14:23 pg e national energy group and any other company referenced herein that us the pg e name or logo are not the same company a pacific gas and electric company the regulated california utility. neither pg e national energy group nor these other referenced company are regulated by the california public utility commission. customer of pacific gas and electric company do not have to buy product from these company in order to continue to receive quality regulated service from the utility.,Confirmation,Confirmation
stephanie \n \ntranswestern ha been in discussion with ena since very early december regarding the sale of the enron compression service gas. the ec off take is supposed to be 11 000 per day. the fact that ec wa not able to nominate their gas ha been problematic for transwestern in that it cause imbalance on the pipeline. we had been waiting for ena to take assignment of these volume and we had been informed by various people that ena wa going to purchase the ec gas. it s my impression that the deal ha still not closed. so now what?,Complaint,Complaint
linda i left a message for lisa to continue taking care of the cat because you wouldn t be able to get back for at least a day or more. her number is 212 721 4590. once you know your plan i will call her again to let her know.\n\n mark.taylor enron.com 09 11 01 12:31pm \nhope everyone we know is well. the picture we are seeing in london are\ndevastating. i am not able to get back tomorrow and will let you know when\ni have flight arrangements. i m sending this to the two of you in the hope\nthat one of you can pas along any information to randy.,Complaint,Complaint
the clickathome database show that you have placed an order with dell computer with an order number of 694722398. please read below for instructions: 1. if this is correct enjoy your computer! you should receive it shortly. 2. if you did not place an order this is a mistake in our system. this is the third time our system ha generated incorrect order information.,Complaint,Complaint
hi \nwe are experiencing some problem with the risktrac feed for enron europe. the problem wa with overnight batch that failed. our people worked through these but it ha taken some time to get all of the data into risktrac. the risktrac database is now updated and we are currently creating the report which should be out shortly. a a result of the batch problem the new york and singapore data are ok. london s data will be slightly delayed.\n\nsorry for any inconvenience caused.\n\nmartin,Complaint,Complaint
the picture i tried to send wouldn t go through. they were too big. i ll send a different one. this is my attempt to avoid doing actual work today.,Complaint,Complaint
lynn the training went well. we covered the following topics:\n\n\t 8 a.m. true up process and how to avoid mistake or invalid codes\n\t winter power pak agreement and true up process\n\t information about realigning their demarc and beatrice volumes\n\t difference between demarc and mid 17 pool\n\t addressed concern about the nng imc dth that keep showing up on their invoices\n\t reviewed some trading code and how we use them\n\t gave example of how we provide better information to them than other pipe by opening our scheduling system to them,Complaint,Complaint
chonawee \n\n\tgood work. i d like to add a few observations. regarding your comment about not being able to buy straddles: longitude informed u that an upcoming implementation that is actually in place now but ha not been made available so a not to complicate the initial auction . the new implementation includes an ability to place a small number of customized order in addition to the standard orders. i.e. 3 or 4 of a user s own customized order it s never been made clear to me why this should be a small number.,Complaint,Complaint
realmoney.com s daily bulletin october 29 2001 http: www.realmoney.com advertisement 7 trade 140 office 1 broker! the link in your daily email have been broken for the past week. this make it impossible to access the content we're paying for.,Complaint,Complaint
just to keep you in the loop. i am addressing this we it. i have a problem with u pulling experienced personnel off the unify when it s not working for the current users. we have a major backlog of critical issue that need immediate attention before reassigning our best troubleshooter,Complaint,Complaint
a you are aware i forwarded and offer to vng that included 4 transaction whereby ena would sell quantites to sequent. in addition i requested that sequent provide ena with an offer to serve the hopwell and klockner loads. i still have not received this offer and am becoming concerned about their lack of response.,Complaint,Complaint
we are currently experiencing a problem with our ability to display pay checks. we are addressing the issue at this time and will provide you with update a we have additional information.\n\ncontact:\n\ncontact:\n\ncontact information:\n\nisc customer care \n\n713 345 4727,Complaint,Complaint
dave giles and i have been asked to provide input on the confidential draft certificate that are expected to be issued to kern river and pg e for the respective expansion project at the open ferc meeting on wednesday 10 31. the ets legal team ha already reviewed the draft and doesn t see any significant unresolved issue that would affect our ability to support these order in their current form. nevertheless bob frank ha indicated that both draft order contain certain precedential language.,Complaint,Complaint
i called this morning. i agree they re horrible.\n\n\n emca yahoogroups.com wrote:\n to unsubscribe from this group send an email,Complaint,Complaint
start date: 10 20 01; hourahead hour: 4; hourahead schedule download failed. manual intervention required.\n\n log messages:\n\nparsing file o: portland westdesk california scheduling iso final schedule 2001102004.txt\n!!!general sql error.\ncouldn t update; currently locked by user admin on machine ecthou bps4 .\ntable\n!!!a user transaction is already in progress.\n!!!a user transaction is already in progress.\n!!!a user transaction is already in progress.\n!!!a user transaction is already in progress.,Complaint,Complaint
jim \n\nthe attached came to our office in error a we do not represent enron corp. or it subsidiaries. i believe this should be routed to your office for action. i am sending the original via courier for your files.\n\nkathy,Complaint,Complaint
very difficult to start a draft given the large uncertainty about what area will be most critical. for example the uk retail situation is very strange and not well understood by houston. also people were worried yesterday about the situation in canada with ecc the problem is that there seem to be almost too many issue to worry about at once and nobody know which one are the most critical.,Complaint,Complaint
fyi i have heard from several of you that you ve experienced difficulty using the ggp pre tax parking and mass transit withdrawal program. you ve been told by payroll that if you change option from parking to mass transit or vice versa payroll ha to first cancel your existing withdrawal authorization and you have to wait until the next month to file for a new one. i also understand that in some case only parking is available but not mass transit. \ni ve requested support from payroll to offer both parking and mass transit to all employee a a pre tax option.,Complaint,Complaint
please note that the issue we observed on 10 23 when copy and paste value from excel to curve manager ha been resolved now. \n\nin case you didn t realize what the issue was: we couldn t copy more than 12 price at a time from excel to curve manager.\n\nplease let risk know if your curve manager is still not working.\n\nthanks \nfran,Complaint,Complaint
ray i am not sure how this reasonable and prudent request could in any way be interpreted a a threat and therefore do not understand. on the contrary to sweep the account without the input of the director would be viewed with extreme suspicion. the lack of transparency in this process is deeply concerning.,Complaint,Complaint
i m in a really boring meeting. please email me! tell mesomething good\nheather kroll,Complaint,Complaint
i know this question is directed at mary but i ve been working on the bammel lease since january so i ll try to shed some light. there are two issues. 1. the residual value guarantee is a concern that mary cook and i are trying to figure out. if we have a dollar for dollar indemnification of hpl and if hpl is on the hook for the entire 100mm then that may be a problem. having said that however i originally heard on one call that enron is subject to some of the residual value risk but not all of it.,Complaint,Complaint
attached is a revised credit watch listing for the week of 10 22 01. please note that u steel corporation wa placed on call credit this week. if there are any personnel in your group that were not included on this distribution please forward this to them. the frequency of these credit watch update ha become excessive and is causing confusion among the trading team.,Complaint,Complaint
now hear this!\n\nif you are in bankruptcy you must clear all non personal item from your desk and throw them away. tonight. including the desk top and door to cabinets. please help u by throwing away all item that are clearly trash. this will accelerate the moves.\n\nif you were on a floor that is going to be abandoned on the move you may go to that floor at 7:00 a.m. if that is before the official evacuation move times. you ll need to be moved out of there when the mover come. the official move time will be provided tomorrow.,Complaint,Complaint
