Email,True Label,Predicted Label
when you arrive at enron center tomorrow tuesday january 22 please go to your regularly assigned floor. \n\nif you were on floor 4 22 24 25 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 or 50 proceed to your cube or office and begin packing. \n\nemployees who were on floor 4 22 24 25 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 or 50 should gather your personal belonging and place them in a box for transport to your new location. please clearly mark your box with your name department and new floor.,Complaint,Others
employee who enroll in the flexcar car sharing program are entitled to free parking for their flexcar at enron. however if you ve been parking your flexcar on level 6 of the enron garage we need you to move it. due to the extremely tight parking situation at enron effective immediately flexcars must be parked in the visitor parking area on level 3b. enron ha agreed to validate flexcar parking in this area.\n\nif you need to pick up a visitor parking validation sticker please see either mike riedel 3ac4094 or me 3ac2374. thanks for your cooperation with the new procedure.,Complaint,Others
i have 2 ticket to the pga tour championship at the champion golf club on sunday november 4th that i cannot use due to another commitment. i believe that these ticket would be especially attractive to a golf fan a tiger wood is expected to play in this tournament which is limited to only the top 30 money winner on the pga tour. if you are interested let me know.,Complaint,Others
i m in a really boring meeting. please email me! tell mesomething good\nheather kroll,Complaint,Others
you will check in with co and they will reissue your tkt at the airport. if\nyou have any question please let me know.\n\nthanks \nheather\n\n agent aa hm booking ref yvegys\n\n taylor mark e\n eb 3889\n etkt receipt\n enron corp\n\n\n\n\n\n date: sep 24 2001\n\nservice date from to depart arrive\n\ncontinental airline 18oct houston tx minneapolis mn 700p 948p\nco 616 t thu g.bush interco st paul intl\n terminal c terminal l\n snack non stop\n reservation confirmed 2:48 duration\n aircraft: boeing 737 300,Complaint,Others
enron today announced that jeff mcmahon 40 ha been named the company s chief financial officer. in his new role jeff will join enron s executive committee. ben glisan who ha served a executive vice president and treasurer will continue to serve a treasurer. \n\nprior to this appointment jeff ha served since march 2000 a chairman and ceo of enron industrial market a business focused on providing energy and risk management service to the metal and mining forest product chemical and glass market sectors.,Complaint,Confirmation
now hear this!\n\nif you are in bankruptcy you must clear all non personal item from your desk and throw them away. tonight. including the desk top and door to cabinets. please help u by throwing away all item that are clearly trash. this will accelerate the moves.\n\nif you were on a floor that is going to be abandoned on the move you may go to that floor at 7:00 a.m. if that is before the official evacuation move times. you ll need to be moved out of there when the mover come. the official move time will be provided tomorrow.,Complaint,Others
my draft response would be:\n\nthe objective is for bu and functional lead to identify their top and bottom 10 for discussion surrounding the issue you raise a well a what the leadership believe is necessary in order to meet their business goal and whether these people could be better deployed in other area or at other projects. a importantly i am looking to understand our leadership s perspective on the top bottom 10 people against the criterion of strong leadership alignment to the netco model and deep knowledge of the business they are running.,Complaint,Enquiry
my name is steve cooper i m the acting ceo and cro at enron calling on thursday february 14th about 4 15 houston time. um uh i m calling primarily uh two thing one is uh i just had a conversation with jane lacher and she s uh having to deal with a lot of issue uh with the benefit department a little short on resources. i told her that i thought it wa very important to spend time on the benefit side we needed to make sure that that wa one area where we could show a human face to our employee,Complaint,Others
at mike perrin s request i have attached a copy of his resume to this\nemail. please let me know that you have received it. also please let me\nknow if you need any further information. my telephone number should you\nneed it is 713 751 3216.\n\njudy tucker\noffice administrator\nking spalding,Complaint,Others
attached is the capital charge file which ha been corrected for a formula error in august. i appreciate everyone s effort in auditing this.,Complaint,Confirmation
i m concerned about the 2nd bullet. we ve been taking the position that we don t want this payment of px credit issue in this proceeding the free for all proceeding. have we changed our position? if not i am concerned that edison will either state directly or give the impression that it s part of the barnett proceeding.,Complaint,Enquiry
kristin \n\ni m attaching the dpr recon file that ha an updated reconciliation to form a a well a a tab that ha the negotiated deal value broken out by counterparty. also i m attaching our schedule c detail a of 11 30.\n\nlet me know if you need additional info!!\n\ncasey,Complaint,Confirmation
ken lay announced today that he ha resigned from enron s board of directors. his resignation is effective immediately. in a press release ken said i want to see enron survive and successfully emerge from reorganization. due to the multiple inquiry and investigation some of which are focused on me personally i believe that my involvement ha become a distraction to achieving this goal.,Others,Complaint
there appears to be a conflict with your reservation of conference room 14b for tomorrow s presentation. the system show that the executive team ha a standing reservation for this room every friday from 10:00 am to 12:00 pm. your reservation wa made outside the normal scheduling protocol. we ve temporarily relocated your meeting to conference room 12a which ha similar capacity and audiovisual capabilities.,Others,Complaint
scheije selectenergy.com writes to the nyiso tech exchange discussion list: while tech bulletin 74 indicated a need to submit section b f and i of the customer registration i only accidentally read note e on page 2 of section b indicating that section j must be submitted a well. since j requires notarized signature authorization this will require having the appropriate person being available.,Others,Complaint
a quote from pennsylvania ave.: this is pretty serious! this wa just received from the doe and pertains particularly to doe and national nuclear security administration nnsa facilities: doe nnsa is at secon 3 with additional measure designed to detect and deter vehicular borne explosives. effective immediately and until further notice all doe nnsa activity shall add measure to their current heightened state of readiness designed to deter terrorist attack by visibly increased perimeter security and security checks.,Others,Confirmation
here are my note from today s call. a with monday i ve focused on getting them out a quickly a possible rather than taking extra time to re organize them by subject. enron s business ha been growing 65 yoy for the last few year 17 of the fortune 500 wa with enron last year 20 wa with them this year.,Others,Confirmation
we ve updated the merger q a document on our enron update site http: home.enron.com update mergerqa.html a a result of the many question you ve had concerning the merger between enron and dynegy. question addressed include those about enron stock option benefit and immigration status. please stay tuned for additional updates.,Others,Confirmation
the following late pending nom ha been rejected: company: 000236 arng: 37147 01961 eff date: 2001 11 27 nominated location quantity receipt p1037186 1 767 delivery p1037147 1 767 rejected reason: pool out of balance this document wa created by tco2114 in the db2p subsystem in trans id smi0 program tj90018,Others,Complaint
